Dataset,Model,Rows,Predictors,SAE,SSE,MAE,RMSE,MedianAbsoluteError,R2
Boston Housing,OLS,506,12,1698.290859,11349.41881,3.356306046,4.735998463,2.490327242,0.7343070438
Boston Housing,LAD,506,12,1611.011,12469.79317,3.183816206,4.964258255,2.088611869,0.7080787776
Concrete Strength,OLS,1030,8,8461.346375,110428.1568,8.214899393,10.35431324,6.519325727,0.6154647343
Concrete Strength,LAD,1030,8,8289.485903,119464.5796,8.048044566,10.76963457,6.048537572,0.5839979114
Hawkins-Bradu-Kass (HBK),OLS,75,3,103.4689601,359.4857257,1.379586135,2.189324784,0.7258667607,0.6018039947
Hawkins-Bradu-Kass (HBK),LAD,75,3,86.74286953,587.7325458,1.156571594,2.799363132,0.5514144327,0.3489790131
Synthetic OLS-LAD,OLS,90,3,289.5947467,1555.541142,3.217719408,4.157377835,2.576671169,0.9885800117
Synthetic OLS-LAD,LAD,90,3,274.6642925,1860.67772,3.051825472,4.546888705,2.196777974,0.9863398549
