Dataset,Rows,CVRepeats,BootstrapRepetitions,RandomizationRepetitions,ConfidenceLevel,OLSMAE,LADMAE,MAEReductionPercent,PairedRandomizationPValue,LADMinusOLSMAE,MAECILower,MAECIUpper,LADMinusOLSRMSE,RMSECILower,RMSECIUpper,LADMinusOLSMedianAbsoluteError,MedianAbsoluteErrorCILower,MedianAbsoluteErrorCIUpper,MAEHolmPValue,RejectEqualMAEHolm,PreferredByMAE,ContaminationMAEReductionPercent,PredictionDriftReductionPercent,SlopeShiftReductionPercent,LADRuntimeMultiple
Boston Housing,506,10,5000,20000,0.95,3.4497236,3.294933383,4.487032443,0.01399930003,-0.1547902172,-0.2775535891,-0.03258451811,0.1676079325,-0.06844965801,0.3807989493,-0.3697285779,-0.5851824883,-0.1509558574,0.05599720014,False,No clear difference,52.88584599,88.15701291,88.37235056,51.41833734
Concrete Strength,1030,10,5000,20000,0.95,8.305630455,8.222627782,0.9993542843,0.3705814709,-0.0830026738,-0.2590466302,0.09806937933,0.5114996504,0.1652165756,0.8546287234,-0.1980198503,-0.6567112295,0.002392751996,0.7411629419,False,No clear difference,39.49570096,91.5276728,91.19668136,132.7828059
Hawkins-Bradu-Kass (HBK),75,10,5000,20000,0.95,1.519237377,1.307924907,13.90911473,0.1514424279,-0.2113124698,-0.4848260555,0.08290455022,0.36715373,-0.427881368,0.9223176756,-0.03964101971,-0.307177063,0.1139688077,0.4543272836,False,No clear difference,47.70011105,82.56410143,83.43200179,7.959080717
Synthetic OLS-LAD,90,10,5000,20000,0.95,3.347387487,3.309401447,1.134796618,0.8597570121,-0.03798604,-0.4184452029,0.3951160594,0.5298108245,-0.3977020154,1.296744817,0.09592085678,-0.5676965526,0.3839631148,0.8597570121,False,No clear difference,87.16221763,97.30156643,97.50108206,8.815041783
