Dataset,OLSSSE,LADSSE,OLSSAE,LADSAE,OLSMinimizesSSE,LADMinimizesSAE
Boston Housing,11349.41881,12469.79317,1698.290859,1611.011,True,True
Concrete Strength,110428.1568,119464.5796,8461.346375,8289.485903,True,True
Hawkins-Bradu-Kass (HBK),359.4857257,587.7325458,103.4689601,86.74286953,True,True
Synthetic OLS-LAD,1555.541142,1860.67772,289.5947467,274.6642925,True,True
