repetition,distribution,model,coefficient_error_l2,SSE,SAE,MAE,RMSE
0,normal,OLS,0.18346835481334245,150.98996580814338,114.7956076910735,0.7653040512738233,1.0032944592961177
0,normal,LAD,0.10111514730306032,155.32361282810217,113.37397306935448,0.7558264871290299,1.0175906604265528
0,laplace,OLS,0.21396381288249192,138.54038928543466,102.84633914950031,0.6856422609966687,0.9610424523590156
0,laplace,LAD,0.14420193848729507,141.06604651219953,100.90046603524542,0.6726697735683028,0.9697630174848544
0,cauchy,OLS,2.5277071195319563,29593.680906668855,652.1526853625568,4.347684569083712,14.046038802611186
0,cauchy,LAD,0.26785677623405085,30512.812324067258,507.30183132032664,3.382012208802178,14.262494481229961
0,contaminated_normal,OLS,0.794853928673767,2365.9104632977906,330.54663015230324,2.2036442010153547,3.9714904534677244
0,contaminated_normal,LAD,0.0768375415674213,2484.2482510898744,302.4815522578906,2.016543681719271,4.0696013327187
1,normal,OLS,0.13164818193651256,135.57358806858988,116.80010163045235,0.7786673442030156,0.9506965448855204
1,normal,LAD,0.2062319559965779,136.93617728573116,116.60749166795267,0.7773832777863512,0.955462112577752
1,laplace,OLS,0.20495231607284592,128.8057076328774,99.6739876046799,0.6644932506978659,0.9266632168984134
1,laplace,LAD,0.14231165174595337,130.49310672024953,98.35238770985217,0.6556825847323478,0.9327132704114719
1,cauchy,OLS,6.420889030918345,351682.2663792368,2059.806302033257,13.732042013555047,48.420537404372595
1,cauchy,LAD,0.42444428723184696,358707.15892803215,1503.6130882023817,10.024087254682545,48.90174904356914
1,contaminated_normal,OLS,0.4671769596228298,1495.514396684116,232.16725867474253,1.5477817244982834,3.1575458789848336
1,contaminated_normal,LAD,0.3129225243884179,1524.272674883975,219.54507578067762,1.463633838537851,3.187760629746191
2,normal,OLS,0.12451782624526653,128.46379288187714,110.73921348462936,0.7382614232308624,0.9254324858568456
2,normal,LAD,0.1419513375412901,130.56986626812872,110.3173479599713,0.7354489863998087,0.9329875535723176
2,laplace,OLS,0.11860433414952615,124.01790196818654,98.10146526621986,0.6540097684414657,0.9092777425634279
2,laplace,LAD,0.06938843964242727,124.84777711958782,97.73331403753366,0.6515554269168911,0.912314920480086
2,cauchy,OLS,1.6969519553671069,145586.79110550354,982.6550232069928,6.551033488046619,31.154110601492437
2,cauchy,LAD,0.34645646632487115,146130.76472643894,863.8123220861669,5.758748813907779,31.212258780425675
2,contaminated_normal,OLS,0.35305017023022056,866.7383199648125,200.27816646375956,1.3351877764250637,2.4038002135019627
2,contaminated_normal,LAD,0.1394348964965207,893.7975163255048,194.18834547408045,1.294588969827203,2.4410346390079556
3,normal,OLS,0.19114481055569885,126.20110103412124,111.45292561099708,0.7430195040733139,0.9172462447787989
3,normal,LAD,0.2817398893806707,128.00748300126043,110.92097035691987,0.7394731357127992,0.9237874322637232
3,laplace,OLS,0.17395224318489572,153.58805793815822,102.71727386247707,0.6847818257498471,1.0118895128690624
3,laplace,LAD,0.1610303119248647,155.7565659386027,100.74916442760633,0.6716610961840422,1.019007902941558
3,cauchy,OLS,1.2968633468081945,27800.875700634693,584.5488720618052,3.896992480412035,13.61393298564249
3,cauchy,LAD,0.48103049783522045,27940.281208226694,547.3729007341287,3.6491526715608584,13.648023350953718
3,contaminated_normal,OLS,0.1463526085600267,665.4778406572884,180.1368836519951,1.2009125576799673,2.1063045690771447
3,contaminated_normal,LAD,0.1453083851686861,670.7075759431186,178.42662289967956,1.189510819331197,2.114564692701737
4,normal,OLS,0.11451331294147739,133.05060434395767,118.51498099695121,0.790099873313008,0.941808913187658
4,normal,LAD,0.18516020246000198,134.46023504666948,118.04877327521663,0.7869918218347776,0.9467848578097333
4,laplace,OLS,0.10797496346046878,98.42057638790563,90.87717581938053,0.6058478387958701,0.8100229477733151
4,laplace,LAD,0.021221549935794917,99.81608622614692,89.64899818556945,0.5976599879037964,0.8157454105546531
4,cauchy,OLS,1.005190799868513,2972.5208522578546,368.46530835488875,2.456435389032592,4.451607089773201
4,cauchy,LAD,0.4107251713173532,3058.1530242675244,347.36465467278384,2.3157643644852257,4.515272619504847
4,contaminated_normal,OLS,0.2533224112990248,421.5493120771827,157.46845465610215,1.0497896977073478,1.6764035156194401
4,contaminated_normal,LAD,0.2148572433847498,423.6086854669935,156.3141986064237,1.042094657376158,1.6804933511065405
5,normal,OLS,0.29915468472632456,189.67025117810036,131.24829168469128,0.8749886112312752,1.1244858119101975
5,normal,LAD,0.3738688988566473,192.95726389423922,129.08262170848747,0.8605508113899164,1.1341877090212749
5,laplace,OLS,0.16931921998119573,118.64262350591176,101.7554559003573,0.678369706002382,0.889354160822754
5,laplace,LAD,0.1148721448850166,120.34609367676327,99.96172869650484,0.6664115246433656,0.8957160773249644
5,cauchy,OLS,33.7117982635133,6543075.60979367,6277.670550479781,41.85113700319854,208.8552227388416
5,cauchy,LAD,0.43331348242553774,6694745.995674007,3180.2270355339533,21.201513570226357,211.26201734140483
5,contaminated_normal,OLS,0.34932359956320297,367.7751713414076,152.90235913456664,1.019349060897111,1.5658334763343718
5,contaminated_normal,LAD,0.11640567522393891,386.24988958234064,144.44842685265922,0.9629895123510614,1.6046804242223032
6,normal,OLS,0.07333216534646961,122.91235699370424,111.66276589308602,0.7444184392872402,0.9052158379587497
6,normal,LAD,0.1726473219924952,124.83357125714781,111.00508647860813,0.7400339098573876,0.9122630149145505
6,laplace,OLS,0.07412629164428826,90.72043076456758,91.74814701994808,0.6116543134663205,0.7776907301516356
6,laplace,LAD,0.1398679980849412,92.4123160491791,91.17037531720057,0.6078025021146705,0.7849089800699998
6,cauchy,OLS,1.520793585486452,78536.45829783569,922.287211372105,6.148581409147367,22.881791639909626
6,cauchy,LAD,0.09282808176565724,78902.63726602127,862.3180896475112,5.748787264316741,22.935073180033132
6,contaminated_normal,OLS,0.5973252642342648,2203.8438632772645,286.56693142125584,1.910446209475039,3.8330526244559215
6,contaminated_normal,LAD,0.1477904525125705,2263.193439013129,265.66328474796325,1.7710885649864216,3.884321853308184
7,normal,OLS,0.26492833002317107,117.20198065569902,100.48387887515048,0.6698925258343366,0.8839380847687579
7,normal,LAD,0.28335958980230086,117.62248083408042,100.18511040548947,0.6679007360365965,0.8855223725164728
7,laplace,OLS,0.2752367715710249,168.87223497060975,114.05750206894186,0.7603833471262791,1.0610442496918144
7,laplace,LAD,0.23790996862413732,170.75222080741403,113.62189683728458,0.7574793122485639,1.0669339898588355
7,cauchy,OLS,0.40745321609388363,9803.706646071503,431.9115707406103,2.8794104716040683,8.084432219218822
