Dataset,Model,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,CleanSAE,CleanSSE,CleanMAE,CleanRMSE,CleanMedianAbsoluteError,CleanR2,ContaminatedTrainingMAE,ContaminatedTrainingRMSE,PredictionRMSEFromCleanFit,StandardizedSlopeL2Shift
Boston Housing,OLS,0,0,18,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,18,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,19,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,19,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,20,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,20,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,21,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,21,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,22,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,22,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,23,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,23,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,24,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,24,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,25,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,25,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,26,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,26,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,27,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,27,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,28,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,28,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,29,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,29,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,30,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,30,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0.05,5,1,357,18,69,1046.480439,4915.374884,2.931317757,3.710600638,2.455566088,0.7059995753,4.810299026,11.81655251,2.074379978,0.8122345684
Boston Housing,LAD,0.05,5,1,357,18,69,823.41849,3530.110706,2.30649437,3.144561223,1.672377113,0.7888555662,4.336051333,12.0034687,0.2870164193,0.1084388664
Boston Housing,OLS,0.05,5,2,357,18,69,1478.344555,9534.731734,4.141021163,5.167971752,3.522566188,0.4297047031,6.198304161,14.30519888,4.152400176,3.804614264
Boston Housing,LAD,0.05,5,2,357,18,69,824.2095891,3624.658638,2.308710334,3.186393797,1.661617524,0.7832004264,4.842730311,14.84915066,0.4012698889,0.182161806
Boston Housing,OLS,0.05,5,3,357,18,69,1007.636884,5468.819083,2.82251228,3.91392654,1.929215344,0.6728967432,4.785043001,12.10551535,2.419362758,1.570327721
Boston Housing,LAD,0.05,5,3,357,18,69,824.3896195,3585.756188,2.30921462,3.16924833,1.646067539,0.7855272758,4.355296682,12.27666249,0.3357631816,0.2782936433
Boston Housing,OLS,0.05,5,4,357,18,69,1042.04346,5097.41146,2.918889243,3.778685416,2.314979623,0.6951115287,4.862796648,12.94609071,2.193845635,1.093422429
Boston Housing,LAD,0.05,5,4,357,18,69,826.5692022,3690.474548,2.315319894,3.215192641,1.660938165,0.7792638181,4.295617315,13.12939963,0.4671380476,0.2235142856
Boston Housing,OLS,0.05,5,5,357,18,69,1247.338111,7577.870685,3.493944288,4.607225687,2.724570404,0.5467492811,6.030116216,17.85962366,3.429434899,2.343804218
Boston Housing,LAD,0.05,5,5,357,18,69,826.4803291,3639.69661,2.31507095,3.192996806,1.695683866,0.782300969,5.053647751,18.09340853,0.5414248143,0.2462851574
Boston Housing,OLS,0.05,5,6,357,18,69,1131.270278,6067.959266,3.168824309,4.122752088,2.413139482,0.6370607241,4.673469242,10.64068146,2.744372419,0.8710638902
Boston Housing,LAD,0.05,5,6,357,18,69,823.0864671,3512.022372,2.305564334,3.136494489,1.66542635,0.7899374731,3.985888394,10.99971023,0.2173440267,0.1166415602
Boston Housing,OLS,0.05,5,7,357,18,69,1148.7556,6386.004087,3.217802801,4.229416819,2.634952197,0.6180376964,5.518717159,13.37649653,2.902147796,4.449711866
Boston Housing,LAD,0.05,5,7,357,18,69,826.0488013,3575.675515,2.313862188,3.164790325,1.742635706,0.7861302251,4.796244534,13.64764058,0.4242504403,0.5497780939
Boston Housing,OLS,0.05,5,8,357,18,69,1182.087796,7217.555685,3.311170296,4.49635884,2.4897702,0.5683005901,6.138673575,17.78126847,3.278984296,2.319153412
Boston Housing,LAD,0.05,5,8,357,18,69,823.9393006,3566.233118,2.307953223,3.160608883,1.701321905,0.7866949976,5.285857103,18.05930189,0.3602980986,0.4542822773
Boston Housing,OLS,0.05,5,9,357,18,69,1194.697318,6084.513003,3.346491088,4.128371809,2.934716067,0.6360706051,6.080931308,15.95548208,2.752807474,1.517128102
Boston Housing,LAD,0.05,5,9,357,18,69,823.266563,3494.239703,2.306068804,3.128543796,1.713179974,0.7910010974,5.1838083,16.15920497,0.2194729286,0.1040967827
Boston Housing,OLS,0.05,5,10,357,18,69,1230.771126,6750.8823,3.447538168,4.348566943,2.782223416,0.5962134506,5.717959847,14.99408187,3.073195349,2.177614814
Boston Housing,LAD,0.05,5,10,357,18,69,822.3874143,3507.385789,2.303606202,3.1344234,1.640138112,0.7902147983,4.774825113,15.30675518,0.1517961687,0.0672187557
Boston Housing,OLS,0.05,5,11,357,18,69,1516.290061,10077.1158,4.247311096,5.312929052,3.605362788,0.3972634044,7.299537215,18.49039099,4.331478998,4.767371349
Boston Housing,LAD,0.05,5,11,357,18,69,827.9752217,3723.205516,2.319258324,3.229419004,1.583566672,0.7773061,5.695364366,18.95277366,0.5870833137,0.2860374775
Boston Housing,OLS,0.05,5,12,357,18,69,1265.083192,7333.041852,3.543650398,4.532188597,2.846690768,0.561393084,6.438262098,18.76328483,3.327946615,4.442180692
Boston Housing,LAD,0.05,5,12,357,18,69,826.2744108,3521.18431,2.314494148,3.140582967,1.803106406,0.7893894755,5.465354462,19.04419042,0.4257649395,0.4686097238
Boston Housing,OLS,0.05,5,13,357,18,69,1271.643155,8234.069347,3.562025646,4.8025639,2.804050617,0.5075004568,6.39238752,17.0795423,3.68769782,1.689220308
Boston Housing,LAD,0.05,5,13,357,18,69,827.198507,3611.898477,2.317082653,3.1807802,1.761133275,0.7839636424,5.326304032,17.41450265,0.6066419142,0.3796466758
Boston Housing,OLS,0.05,5,14,357,18,69,1122.622876,5435.450513,3.144601894,3.901967654,2.687767845,0.6748925978,5.457205087,14.04550128,2.399968077,1.021294194
Boston Housing,LAD,0.05,5,14,357,18,69,828.480321,3524.531631,2.320673168,3.142075369,1.762298364,0.7891892641,4.794036974,14.2551845,0.5647381904,0.2668799054
Boston Housing,OLS,0.05,5,15,357,18,69,990.5061657,4454.312872,2.774527075,3.532289182,2.359027989,0.733576806,5.617161443,16.26650879,1.735385278,2.099516414
Boston Housing,LAD,0.05,5,15,357,18,69,824.1597929,3513.596813,2.308570849,3.137197456,1.683238107,0.789843302,5.209280214,16.35514334,0.2332464218,0.2134879608
Boston Housing,OLS,0.05,5,16,357,18,69,1319.660623,8119.592971,3.696528356,4.769062581,2.942086682,0.5143475649,6.258426877,15.20489407,3.643961182,2.180072014
Boston Housing,LAD,0.05,5,16,357,18,69,822.4906581,3544.610694,2.303895401,3.151012773,1.646288707,0.7879882869,5.056222564,15.61000399,0.2743185649,0.1471350505
Boston Housing,OLS,0.05,5,17,357,18,69,1226.718141,6971.596711,3.436185269,4.41908159,2.805049306,0.5830119895,5.89386954,14.57521399,3.172188093,5.465413844
Boston Housing,LAD,0.05,5,17,357,18,69,825.4192295,3564.17506,2.312098682,3.159696764,1.608282545,0.786818095,4.992256297,14.8750066,0.4076058083,0.5013019537
Boston Housing,OLS,0.05,5,18,357,18,69,950.6554552,4075.393874,2.662900435,3.378708202,2.146524039,0.756240865,4.997795822,14.75339271,1.396482836,0.6741906123
Boston Housing,LAD,0.05,5,18,357,18,69,823.1223323,3499.256076,2.305664796,3.130788678,1.746703892,0.790701056,4.679529238,14.84473745,0.251055907,0.2354141034
Boston Housing,OLS,0.05,5,19,357,18,69,1466.776319,9830.139804,4.10861714,5.247418948,3.287970567,0.412035634,7.3855728,20.7788756,4.250870594,3.02712307
Boston Housing,LAD,0.05,5,19,357,18,69,828.6539552,3785.485041,2.321159539,3.256316869,1.629859885,0.7735810114,5.821670758,21.0904502,0.5828502822,0.5342908019
Boston Housing,OLS,0.05,5,20,357,18,69,967.5519645,4668.287058,2.710229592,3.616135276,1.905474319,0.720778494,4.344617521,10.46367937,1.900244598,1.659155365
Boston Housing,LAD,0.05,5,20,357,18,69,827.132912,3609.885696,2.316898913,3.179893809,1.647834705,0.7840840317,4.062570918,10.59323719,0.5627375481,0.5106977376
Boston Housing,OLS,0.05,5,21,357,18,69,1110.852431,5172.988797,3.11163146,3.806594895,2.773138689,0.690591066,6.970833282,21.1858816,2.241575315,2.259705375
Boston Housing,LAD,0.05,5,21,357,18,69,825.2349372,3529.910745,2.311582457,3.14447216,1.698998769,0.7888675264,6.291543499,21.31123489,0.2831177361,0.1691467599
Boston Housing,OLS,0.05,5,22,357,18,69,954.4168505,4177.599492,2.673436556,3.420812676,2.129185452,0.7501277006,4.789841069,12.47159901,1.495478037,0.8197580841
Boston Housing,LAD,0.05,5,22,357,18,69,822.8633736,3525.025547,2.304939422,3.142295521,1.744755428,0.7891597218,4.482473143,12.56506759,0.2839143199,0.09004915154
Boston Housing,OLS,0.05,5,23,357,18,69,1088.747332,5436.07662,3.049712413,3.902192381,2.654529334,0.6748551489,4.890807705,11.8938653,2.40033343,2.928837805
Boston Housing,LAD,0.05,5,23,357,18,69,822.8511335,3509.6028,2.304905136,3.135413875,1.689761988,0.7900821935,4.251917678,12.1660569,0.2150136288,0.1232880714
Boston Housing,OLS,0.05,5,24,357,18,69,1285.71586,7106.811331,3.601444986,4.461729994,3.056209425,0.574924477,6.211823054,16.42721514,3.231335597,2.873342093
Boston Housing,LAD,0.05,5,24,357,18,69,824.2849669,3527.828165,2.308921476,3.143544434,1.719206109,0.7889920905,5.045499316,16.73970206,0.2747704727,0.1997277499
Boston Housing,OLS,0.05,5,25,357,18,69,1337.387167,8254.704398,3.746182541,4.808577886,3.018856188,0.5062662246,6.76067464,18.48881476,3.69552655,2.895502853
Boston Housing,LAD,0.05,5,25,357,18,69,827.4122137,3535.236473,2.317681271,3.146843366,1.71093836,0.7885489817,5.631067673,18.83417565,0.3546524423,0.2504495359
Boston Housing,OLS,0.05,5,26,357,18,69,1304.63488,8221.949852,3.654439441,4.79902822,2.736081364,0.508225353,6.700864452,19.22125574,3.68309205,4.021343799
Boston Housing,LAD,0.05,5,26,357,18,69,825.4675991,3517.069963,2.312234171,3.138747615,1.739182693,0.7896355645,5.535108372,19.58221196,0.3152907203,0.4560120753
Boston Housing,OLS,0.05,5,27,357,18,69,1096.576311,5601.845172,3.071642327,3.961242616,2.54457341,0.664940132,5.358854011,13.34844937,2.49518301,2.276780168
Boston Housing,LAD,0.05,5,27,357,18,69,823.8643552,3500.24729,2.307743292,3.131232067,1.742355832,0.7906417691,4.692931344,13.59268924,0.2635703643,0.1152957001
Boston Housing,OLS,0.05,5,28,357,18,69,1123.740109,5684.651322,3.147731399,3.990412643,2.446282844,0.6599872965,5.78487541,15.91673957,2.541237544,1.971534643
Boston Housing,LAD,0.05,5,28,357,18,69,822.5257178,3487.852137,2.303993607,3.125682956,1.660623102,0.7913831531,5.112713433,16.16404979,0.1664546657,0.0762763351
Boston Housing,OLS,0.05,5,29,357,18,69,1092.145964,5503.445027,3.059232393,3.926297544,2.353858484,0.670825682,4.917707006,11.35044751,2.439325234,2.028364627
Boston Housing,LAD,0.05,5,29,357,18,69,822.4300723,3500.656461,2.303725693,3.131415079,1.711793541,0.7906172956,4.339789236,11.60376602,0.107107212,0.07650055289
Boston Housing,OLS,0.05,5,30,357,18,69,1138.37895,5970.918888,3.188736555,4.089653163,2.596676701,0.6428649431,5.531568906,13.84957501,2.694393845,3.53115818
Boston Housing,LAD,0.05,5,30,357,18,69,824.7720707,3529.445882,2.310285912,3.144265102,1.706995602,0.7888953309,4.786285559,14.11962001,0.4469652457,0.2641663357
Boston Housing,OLS,0.1,10,1,357,36,69,1963.32727,18099.95394,5.499516161,7.120403857,4.327827453,-0.08260189114,10.76578819,25.85655397,6.421420893,5.487341057
Boston Housing,LAD,0.1,10,1,357,36,69,836.0596564,3787.33443,2.3419038,3.257112205,1.666307271,0.773470395,8.416482564,26.60445994,0.732929964,0.2718756045
Boston Housing,OLS,0.1,10,2,357,36,69,1387.372867,9153.470384,3.886198506,5.063592901,3.07005799,0.4525088637,8.624311673,19.32283444,4.021749403,2.269112427
Boston Housing,LAD,0.1,10,2,357,36,69,830.4116798,3582.183709,2.326083137,3.167669181,1.695981022,0.7857409543,7.457565793,19.6823932,0.5719738491,0.4091243071
Boston Housing,OLS,0.1,10,3,357,36,69,1321.450747,8514.719576,3.701542708,4.883723489,2.920990461,0.4907140898,9.043168457,22.57017387,3.792789252,2.301505435
Boston Housing,LAD,0.1,10,3,357,36,69,824.9958568,3579.250099,2.310912764,3.166371842,1.639438938,0.7859164206,8.00231644,22.85196112,0.360380397,0.3285843031
Boston Housing,OLS,0.1,10,4,357,36,69,1919.184118,14337.82201,5.375865876,6.337346955,5.233332482,0.1424202913,11.56622346,26.24941006,5.540438757,2.146056378
Boston Housing,LAD,0.1,10,4,357,36,69,823.4053737,3550.688644,2.30645763,3.15371314,1.688685073,0.7876247501,9.036094578,26.8559243,0.3276994556,0.1330224136
Boston Housing,OLS,0.1,10,5,357,36,69,1234.612241,7252.354852,3.458297594,4.507185316,2.847670229,0.566219168,8.784466644,22.70211446,3.293814608,1.931448186
Boston Housing,LAD,0.1,10,5,357,36,69,829.5979292,3648.846706,2.323803723,3.197007838,1.710114969,0.7817536797,7.870575081,22.91214287,0.5396239247,0.1560928352
Boston Housing,OLS,0.1,10,6,357,36,69,1537.393472,11028.15027,4.306424292,5.557983197,3.507170388,0.3403797393,8.638923981,19.9166446,4.628787359,5.441118082
Boston Housing,LAD,0.1,10,6,357,36,69,831.6777209,3578.421784,2.32962947,3.166005438,1.77444464,0.7859659641,7.171746873,20.41806031,0.5203371156,0.3771898937
Boston Housing,OLS,0.1,10,7,357,36,69,1222.888507,6910.812364,3.425458002,4.399774747,2.695271959,0.5866476478,7.992055695,19.90136442,3.145236561,1.556913406
Boston Housing,LAD,0.1,10,7,357,36,69,823.6615661,3502.629993,2.307175255,3.132297638,1.753478207,0.7904992539,7.074874969,20.11387132,0.2465902149,0.1336752734
Boston Housing,OLS,0.1,10,8,357,36,69,1557.821087,9881.24418,4.3636445,5.261041259,4.028122259,0.4089789581,9.340257097,22.80311753,4.267675049,3.221633172
Boston Housing,LAD,0.1,10,8,357,36,69,825.9404052,3600.958121,2.313558558,3.175959292,1.655223881,0.7846180115,7.65923943,23.14302075,0.3015942594,0.3245969199
Boston Housing,OLS,0.1,10,9,357,36,69,1215.541229,6527.658848,3.404877393,4.276068133,2.940828297,0.6095649835,7.46642809,17.70870695,2.969722862,2.729687122
Boston Housing,LAD,0.1,10,9,357,36,69,831.3222637,3543.245124,2.328633792,3.150405747,1.717410413,0.788069965,6.57884056,17.93966893,0.6243676173,0.2806213293
Boston Housing,OLS,0.1,10,10,357,36,69,1314.43943,8633.260329,3.681903166,4.917601249,2.617366738,0.4836238816,8.346032619,20.90783628,3.836312975,1.677507411
