Dataset,Model,ContaminationRate,Repetition,Term,Estimate,CleanReferenceEstimate,EstimateShift,RobustStandardizedEstimate,CleanRobustStandardizedEstimate
Boston Housing,LAD,0,10,TAX,-0.00724174151,-0.00724174151,0,-0.4009196025,-0.4009196025
Boston Housing,LAD,0,10,PTRATIO,-0.7035817153,-0.7035817153,0,-0.2447240749,-0.2447240749
Boston Housing,LAD,0,10,LSTAT,-0.3016570272,-0.3016570272,0,-0.3930285035,-0.3930285035
Boston Housing,OLS,0,11,Intercept,25.76502072,25.76502072,0,,
Boston Housing,OLS,0,11,CRIM,-0.3981416199,-0.3981416199,0,-0.2168815888,-0.2168815888
Boston Housing,OLS,0,11,ZN,-0.01028855598,-0.01028855598,0,-0.00149109507,-0.00149109507
Boston Housing,OLS,0,11,INDUS,-0.08386181448,-0.08386181448,0,-0.1487635666,-0.1487635666
Boston Housing,OLS,0,11,CHAS,2.009809016,2.009809016,0,0.291276669,0.291276669
Boston Housing,OLS,0,11,NOX,-14.50118331,-14.50118331,0,-0.3026333908,-0.3026333908
Boston Housing,OLS,0,11,RM,4.782367,4.782367,0,0.4234820633,0.4234820633
