Dataset,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,OLS_CleanMAE,LAD_CleanMAE,LADMinusOLS_CleanMAE,LADReductionPercent_CleanMAE,LADWins_CleanMAE,OLS_CleanRMSE,LAD_CleanRMSE,LADMinusOLS_CleanRMSE,LADReductionPercent_CleanRMSE,LADWins_CleanRMSE,OLS_PredictionRMSEFromCleanFit,LAD_PredictionRMSEFromCleanFit,LADMinusOLS_PredictionRMSEFromCleanFit,LADReductionPercent_PredictionRMSEFromCleanFit,LADWins_PredictionRMSEFromCleanFit,OLS_StandardizedSlopeL2Shift,LAD_StandardizedSlopeL2Shift,LADMinusOLS_StandardizedSlopeL2Shift,LADReductionPercent_StandardizedSlopeL2Shift,LADWins_StandardizedSlopeL2Shift
Boston Housing,0,0,27,357,0,69,2.364092223,2.301204534,-0.062887689,2.660119956,True,3.076606053,3.131278805,0.054672752,-1.777047534,False,0,0,0,,False,0,0,0,,False
Boston Housing,0,0,28,357,0,69,2.364092223,2.301204534,-0.062887689,2.660119956,True,3.076606053,3.131278805,0.054672752,-1.777047534,False,0,0,0,,False,0,0,0,,False
Boston Housing,0,0,29,357,0,69,2.364092223,2.301204534,-0.062887689,2.660119956,True,3.076606053,3.131278805,0.054672752,-1.777047534,False,0,0,0,,False,0,0,0,,False
Boston Housing,0,0,30,357,0,69,2.364092223,2.301204534,-0.062887689,2.660119956,True,3.076606053,3.131278805,0.054672752,-1.777047534,False,0,0,0,,False,0,0,0,,False
Boston Housing,0.05,5,1,357,18,69,2.931317757,2.30649437,-0.624823387,21.31544373,True,3.710600638,3.144561223,-0.566039415,15.25465741,True,2.074379978,0.2870164193,-1.787363559,86.16374906,True,0.8122345684,0.1084388664,-0.703795702,86.64931651,True
Boston Housing,0.05,5,2,357,18,69,4.141021163,2.308710334,-1.832310829,44.24780161,True,5.167971752,3.186393797,-1.981577955,38.34343627,True,4.152400176,0.4012698889,-3.751130287,90.33643503,True,3.804614264,0.182161806,-3.622452458,95.21208214,True
Boston Housing,0.05,5,3,357,18,69,2.82251228,2.30921462,-0.51329766,18.18584329,True,3.91392654,3.16924833,-0.74467821,19.02637166,True,2.419362758,0.3357631816,-2.083599576,86.12183392,True,1.570327721,0.2782936433,-1.292034078,82.27798952,True
Boston Housing,0.05,5,4,357,18,69,2.918889243,2.315319894,-0.603569349,20.67804904,True,3.778685416,3.215192641,-0.563492775,14.91240241,True,2.193845635,0.4671380476,-1.726707587,78.7068862,True,1.093422429,0.2235142856,-0.8699081434,79.55828601,True
Boston Housing,0.05,5,5,357,18,69,3.493944288,2.31507095,-1.178873338,33.74047325,True,4.607225687,3.192996806,-1.414228881,30.69588896,True,3.429434899,0.5414248143,-2.888010085,84.21241895,True,2.343804218,0.2462851574,-2.097519061,89.49207636,True
Boston Housing,0.05,5,6,357,18,69,3.168824309,2.305564334,-0.863259975,27.2422795,True,4.122752088,3.136494489,-0.986257599,23.92231155,True,2.744372419,0.2173440267,-2.527028392,92.08037418,True,0.8710638902,0.1166415602,-0.75442233,86.6092991,True
Boston Housing,0.05,5,7,357,18,69,3.217802801,2.313862188,-0.903940613,28.0918586,True,4.229416819,3.164790325,-1.064626494,25.17194544,True,2.902147796,0.4242504403,-2.477897356,85.38150121,True,4.449711866,0.5497780939,-3.899933772,87.64463609,True
Boston Housing,0.05,5,8,357,18,69,3.311170296,2.307953223,-1.003217073,30.29796064,True,4.49635884,3.160608883,-1.335749957,29.70737,True,3.278984296,0.3602980986,-2.918686197,89.01189923,True,2.319153412,0.4542822773,-1.864871135,80.41171943,True
Boston Housing,0.05,5,9,357,18,69,3.346491088,2.306068804,-1.040422284,31.08994635,True,4.128371809,3.128543796,-0.999828013,24.21845849,True,2.752807474,0.2194729286,-2.533334545,92.02730555,True,1.517128102,0.1040967827,-1.413031319,93.13856341,True
Boston Housing,0.05,5,10,357,18,69,3.447538168,2.303606202,-1.143931966,33.18112549,True,4.348566943,3.1344234,-1.214143543,27.92054392,True,3.073195349,0.1517961687,-2.92139918,95.06064043,True,2.177614814,0.0672187557,-2.110396058,96.9131935,True
Boston Housing,0.05,5,11,357,18,69,4.247311096,2.319258324,-1.928052772,45.39466802,True,5.312929052,3.229419004,-2.083510048,39.21584549,True,4.331478998,0.5870833137,-3.744395684,86.44612351,True,4.767371349,0.2860374775,-4.481333872,94.00010076,True
Boston Housing,0.05,5,12,357,18,69,3.543650398,2.314494148,-1.22915625,34.68616009,True,4.532188597,3.140582967,-1.39160563,30.70493648,True,3.327946615,0.4257649395,-2.902181676,87.20637712,True,4.442180692,0.4686097238,-3.973570968,89.45090809,True
Boston Housing,0.05,5,13,357,18,69,3.562025646,2.317082653,-1.244942993,34.95042194,True,4.8025639,3.1807802,-1.6217837,33.76912278,True,3.68769782,0.6066419142,-3.081055906,83.54957635,True,1.689220308,0.3796466758,-1.309573632,77.52533083,True
Boston Housing,0.05,5,14,357,18,69,3.144601894,2.320673168,-0.823928726,26.20136837,True,3.901967654,3.142075369,-0.759892285,19.47459211,True,2.399968077,0.5647381904,-1.835229887,76.46892907,True,1.021294194,0.2668799054,-0.7544142886,73.86845955,True
Boston Housing,0.05,5,15,357,18,69,2.774527075,2.308570849,-0.465956226,16.79407746,True,3.532289182,3.137197456,-0.395091726,11.18514668,True,1.735385278,0.2332464218,-1.502138856,86.55938685,True,2.099516414,0.2134879608,-1.886028453,89.83156505,True
Boston Housing,0.05,5,16,357,18,69,3.696528356,2.303895401,-1.392632955,37.67407743,True,4.769062581,3.151012773,-1.618049808,33.92804729,True,3.643961182,0.2743185649,-3.369642617,92.47196797,True,2.180072014,0.1471350505,-2.032936963,93.25090871,True
Boston Housing,0.05,5,17,357,18,69,3.436185269,2.312098682,-1.124086587,32.71321244,True,4.41908159,3.159696764,-1.259384826,28.49879099,True,3.172188093,0.4076058083,-2.764582285,87.15064188,True,5.465413844,0.5013019537,-4.96411189,90.82774026,True
Boston Housing,0.05,5,18,357,18,69,2.662900435,2.305664796,-0.357235639,13.41528336,True,3.378708202,3.130788678,-0.247919524,7.337701547,True,1.396482836,0.251055907,-1.145426929,82.02227048,True,0.6741906123,0.2354141034,-0.4387765089,65.08196657,True
Boston Housing,0.05,5,19,357,18,69,4.10861714,2.321159539,-1.787457601,43.5050904,True,5.247418948,3.256316869,-1.991102079,37.94440846,True,4.250870594,0.5828502822,-3.668020312,86.28868442,True,3.02712307,0.5342908019,-2.492832268,82.34988173,True
Boston Housing,0.05,5,20,357,18,69,2.710229592,2.316898913,-0.393330679,14.51281767,True,3.616135276,3.179893809,-0.436241467,12.06374855,True,1.900244598,0.5627375481,-1.33750705,70.38604669,True,1.659155365,0.5106977376,-1.148457627,69.21941439,True
Boston Housing,0.05,5,21,357,18,69,3.11163146,2.311582457,-0.800049003,25.71156042,True,3.806594895,3.14447216,-0.662122735,17.39409507,True,2.241575315,0.2831177361,-1.958457579,87.36969781,True,2.259705375,0.1691467599,-2.090558615,92.51465427,True
Boston Housing,0.05,5,22,357,18,69,2.673436556,2.304939422,-0.368497134,13.78364986,True,3.420812676,3.142295521,-0.278517155,8.14184176,True,1.495478037,0.2839143199,-1.211563717,81.01514614,True,0.8197580841,0.09004915154,-0.7297089326,89.01515541,True
Boston Housing,0.05,5,23,357,18,69,3.049712413,2.304905136,-0.744807277,24.42221351,True,3.902192381,3.135413875,-0.766778506,19.64994114,True,2.40033343,0.2150136288,-2.185319801,91.04234328,True,2.928837805,0.1232880714,-2.805549734,95.7905463,True
Boston Housing,0.05,5,24,357,18,69,3.601444986,2.308921476,-1.29252351,35.88902552,True,4.461729994,3.143544434,-1.31818556,29.54427009,True,3.231335597,0.2747704727,-2.956565124,91.49669032,True,2.873342093,0.1997277499,-2.673614343,93.04893941,True
Boston Housing,0.05,5,25,357,18,69,3.746182541,2.317681271,-1.42850127,38.13218535,True,4.808577886,3.146843366,-1.66173452,34.55771248,True,3.69552655,0.3546524423,-3.340874108,90.40319593,True,2.895502853,0.2504495359,-2.645053317,91.35039582,True
