Dataset,OLS_CleanMAE_Mean,LAD_CleanMAE_Mean,MAEReductionPercent,MAEWinRate,PredictionDriftReductionPercent,SlopeShiftReductionPercent,LADRuntimeMultiple
Boston Housing,4.966147957,2.339758596,52.88584599,1,88.15701291,88.37235056,51.41833734
Concrete Strength,9.743841716,5.89544313,39.49570096,1,91.5276728,91.19668136,132.7828059
Hawkins-Bradu-Kass (HBK),0.9150612022,0.4785759925,47.70011105,1,82.56410143,83.43200179,7.959080717
Synthetic OLS-LAD,14.91330114,1.914537145,87.16221763,1,97.30156643,97.50108206,8.815041783
